➜  CSE221_project git:(master) ✗ build/peak_bandwidth
data received (Bytes), time used (cycles)
2494464, 3777702
2498560, 3782187
2502656, 3785076
2506752, 3787929
2510848, 3790770
2514944, 3795513
2519040, 3798462
2523136, 3801831
2527232, 3804753
2531328, 3809589
2535424, 3812592
2539520, 3815505
2543616, 3818364
2547712, 3822288
2551808, 3834813
2555904, 3841929
2560000, 3849093
2564096, 3858279
2568192, 3863148
2572288, 3868389
2576384, 3875661
2580480, 3886965
2584576, 3893553
2588672, 3899010
2592768, 3905370
2596864, 3909771
2600960, 3912825
2605056, 3915657
2609152, 3918771
2613248, 3925260
2617344, 3930819
2621440, 3936930
2625536, 3941895
2629632, 3950259
2633728, 3956856
2637824, 3963024
2641920, 3970344
2646016, 3978795
2650112, 3985176
2654208, 3990798
2658304, 3996984
2662400, 4006020
2666496, 4012371
2670592, 4030137
2674688, 4036116
2678784, 4042515
2682880, 4046634
2686976, 4050543
2691072, 4054704
2695168, 4061025
2699264, 4065090
2703360, 4069098
2707456, 4073172
2711552, 4080465
2715648, 4084569
2719744, 4088550
2723840, 4092942
2727936, 4099869
2732032, 4104102
2736128, 4108632
2740224, 4113171
2744320, 4119687
2748416, 4130886
2752512, 4137174
2756608, 4142766
2760704, 4154103
2764800, 4158846
2768896, 4164768
2772992, 4173003
2777088, 4184694
2781184, 4192002
2785280, 4198371
2789376, 4204173
2793472, 4211097
2797568, 4215306
2801664, 4219554
2805760, 4224222
2809856, 4230336
2813952, 4235133
2818048, 4239807
2822144, 4244151
2826240, 4251090
2830336, 4255758
2834432, 4260828
2838528, 4267212
2842624, 4276521
2846720, 4281678
2850816, 4287999
2854912, 4295217
2859008, 4303167
2863104, 4309686
2867200, 4316679
2871296, 4323087
2875392, 4333302
2879488, 4340079
2883584, 4345395
2887680, 4351083
2891776, 4357308
2895872, 4360251
2899968, 4363068
2904064, 4365951
2908160, 4369875
2912256, 4372788
2916352, 4375527
2920448, 4378416
2924544, 4382958
2928640, 4385796
2932736, 4394574
2936832, 4398282
2940928, 4402503
2945024, 4405389
2949120, 4408257
2953216, 4411212
2957312, 4415757
2961408, 4418610
2965504, 4421325
2969600, 4424292
2973696, 4428837
2977792, 4431615
2981888, 4434633
2985984, 4437483
2990080, 4442049
2994176, 4444974
2998272, 4448094
3002368, 4450965
3006464, 4455453
3010560, 4458354
3014656, 4461261
3018752, 4464084
3022848, 4468620
3026944, 4471620
3031040, 4474608
3035136, 4478127
3039232, 4482009
3043328, 4485030
3047424, 4488000
3051520, 4491528
3055616, 4495143
3059712, 4498083
3063808, 4500993
3067904, 4504410
3072000, 4508553
3076096, 4522185
3080192, 4528131
3084288, 4537533
3088384, 4544472
3092480, 4548183
3096576, 4553517
3100672, 4562301
3104768, 4571391
3108864, 4579035
3112960, 4584282
3117056, 4591845
3121152, 4595775
3125248, 4598799
3129344, 4601868
3133440, 4605900
3137536, 4612779
3141632, 4617336
3145728, 4622529
3149824, 4629699
3153920, 4637493
3158016, 4642929
3162112, 4649415
3166208, 4657551
3170304, 4664976
3174400, 4672254
3178496, 4676667
3182592, 4684485
3186688, 4692183
3190784, 4697829
3194880, 4714389
3198976, 4721742
3203072, 4727385
3207168, 4731756
3211264, 4736328
3215360, 4741866
3219456, 4747299
3223552, 4751847
3227648, 4755972
3231744, 4761456
3235840, 4766760
3239936, 4771053
3244032, 4775385
3248128, 4780860
3252224, 4786503
3256320, 4795956
3260416, 4801950
3264512, 4808619
3268608, 4818252
3272704, 4823457
3276800, 4830156
3280896, 4839327
3284992, 4848609
3289088, 4856349
3293184, 4862709
3297280, 4870539
3301376, 4875075
3305472, 4879641
3309568, 4884303
3313664, 4890915
3317760, 4895511
3321856, 4899915
3325952, 4904391
3330048, 4910610
3334144, 4915293
3338240, 4919991
3342336, 4925949
3346432, 4935195
3350528, 4941027
3354624, 4947336
3358720, 4954203
3362816, 4963296
3366912, 4969779
3371008, 4976253
3375104, 4982487
3379200, 4992060
3383296, 4999341
3387392, 5005866
3391488, 5011419
3395584, 5017752
3399680, 5020944
3403776, 5023665
3407872, 5026512
3411968, 5030871
3416064, 5033580
3420160, 5036325
3424256, 5039037
3428352, 5043294
3432448, 5046003
3436544, 5048892
3440640, 5051919
3444736, 5056554
3448832, 5059500
3452928, 5062410
3457024, 5071467
3461120, 5076447
3465216, 5079243
3469312, 5082114
3473408, 5085015
3477504, 5089458
3481600, 5092197
3485696, 5094954
3489792, 5097717
3493888, 5101680
3497984, 5104431
3502080, 5107167
3506176, 5109963
3510272, 5114295
3514368, 5117013
3518464, 5119785
3522560, 5122503
3526656, 5126856
3530752, 5129670
3534848, 5132778
3538944, 5135706
3543040, 5140131
3547136, 5142969
3551232, 5145759
3555328, 5148654
3559424, 5153607
3563520, 5156376
3567616, 5159259
3571712, 5162034
3575808, 5165961
3579904, 5168736
3584000, 5171601
3588096, 5174652
3592192, 5178684
3596288, 5181393
3600384, 5184105
3604480, 5194920
3608576, 5204805
3612672, 5211870
3616768, 5220123
3620864, 5226060
3624960, 5235591
3629056, 5241045
3633152, 5248239
3637248, 5255949
3641344, 5266893
3645440, 5270184
3649536, 5273172
3653632, 5275914
3657728, 5280537
3661824, 5284194
3665920, 5288988
3670016, 5293596
3674112, 5301402
3678208, 5305776
3682304, 5309451
3686400, 5313648
3690496, 5321457
3694592, 5324403
3698688, 5327148
3702784, 5329878
3706880, 5334189
3710976, 5336925
3715072, 5339691
3719168, 5350053
3723264, 5354496
3727360, 5357322
3731456, 5360250
3735552, 5363058
3739648, 5367255
3743744, 5370348
3747840, 5374248
3751936, 5378454
3756032, 5384175
3760128, 5388555
3764224, 5393061
3768320, 5397300
3772416, 5403552
3776512, 5411613
3780608, 5419458
3784704, 5425857
3788800, 5439360
3792896, 5442279
3796992, 5445189
3801088, 5447946
3805184, 5452719
3809280, 5455695
3813376, 5458605
3817472, 5461332
3821568, 5465397
3825664, 5468217
3829760, 5471031
3833856, 5474034
3837952, 5478408
3842048, 5481201
3846144, 5484030
3850240, 5486805
3854336, 5491209
3858432, 5493981
3862528, 5496819
3866624, 5499567
3870720, 5503551
3874816, 5506482
3878912, 5509341
3883008, 5512257
3887104, 5516019
3891200, 5518845
3895296, 5521686
3899392, 5524434
3903488, 5528526
3907584, 5531286
3911680, 5534022
3915776, 5536797
3919872, 5540727
3923968, 5543484
3928064, 5546313
3932160, 5549169
3936256, 5553006
3940352, 5555853
3944448, 5558646
3948544, 5561379
3952640, 5565546
3956736, 5568444
3960832, 5571243
3964928, 5573988
3969024, 5578089
3973120, 5580960
3977216, 5590713
3981312, 5594829
3985408, 5599104
3989504, 5602065
3993600, 5604942
3997696, 5607816
4001792, 5612184
4005888, 5614944
4009984, 5617701
4014080, 5620479
4018176, 5624667
4022272, 5627580
4026368, 5630334
4030464, 5633079
4034560, 5637360
4038656, 5640090
4042752, 5642835
4046848, 5645568
4050944, 5649819
4055040, 5652576
4059136, 5655300
4063232, 5658171
4067328, 5662272
4071424, 5665053
4075520, 5667864
4079616, 5670630
4083712, 5674587
4087808, 5677500
4091904, 5680227
4096000, 5682954
4100096, 5702808
4104192, 5705628
4108288, 5708400
4112384, 5711307
4116480, 5715405
4120576, 5718261
4124672, 5721030
4128768, 5723787
4132864, 5727828
4136960, 5730747
4141056, 5733570
